,AGENCY,AGENCY NAME,CLASS TITLE,ETHNICITY,GENDER,STATUS,HRS PER WK,MONTHLY,ANNUAL
431,103,100,1024,3,1,7,40.0,7004.8,84057.6
432,103,100,1092,3,1,7,40.0,6226.12,74713.44
433,103,100,765,3,0,7,40.0,5000.0,60000.0
434,103,100,862,5,1,7,40.0,6733.67,80804.04
435,103,100,1190,3,0,7,40.0,5396.79,64761.48
436,103,100,986,5,1,7,40.0,4359.21,52310.52
437,103,100,412,5,1,7,40.0,2780.41,33364.92
438,103,100,736,5,0,7,40.0,5471.6,65659.2
439,103,100,1229,5,0,7,40.0,3500.0,42000.0
440,103,100,573,5,0,7,40.0,3875.01,46500.12
442,103,100,669,2,1,7,40.0,3923.25,47079.0
443,103,100,375,5,0,7,40.0,11343.88,136126.56
444,103,100,132,5,0,7,40.0,14166.67,170000.04
445,103,100,749,3,1,7,40.0,10416.67,125000.04
446,103,100,746,3,0,7,40.0,3808.34,45700.08
447,103,100,440,5,1,7,40.0,5375.0,64500.0
448,103,100,1401,5,1,7,40.0,5021.99,60263.88
449,103,100,16,2,0,7,40.0,4687.5,56250.0
450,103,100,995,5,1,7,40.0,6634.27,79611.24
451,103,100,1419,5,0,7,40.0,4489.62,53875.44
452,103,100,413,5,0,7,40.0,3462.5,41550.0
454,103,100,1329,5,0,7,40.0,6668.69,80024.28
455,103,100,668,5,1,7,40.0,3160.75,37929.0
456,103,100,669,2,1,7,40.0,4009.7,48116.4
457,103,100,746,5,1,7,40.0,4447.21,53366.52
458,103,100,431,5,0,7,40.0,4791.67,57500.04
459,103,100,1135,5,0,7,40.0,4500.0,54000.0
460,103,100,1250,5,0,7,40.0,10103.93,121247.16
461,103,100,41,5,0,7,40.0,7857.99,94295.88
462,103,100,111,5,1,7,40.0,5291.67,63500.04
463,103,100,274,5,1,7,40.0,5077.25,60927.0
464,103,100,1136,5,1,7,40.0,3333.33,39999.96
465,103,100,387,5,0,7,40.0,12334.38,148012.56
466,103,100,1244,5,0,7,40.0,8159.61,97915.32
467,103,100,1092,5,1,7,40.0,7899.59,94795.08
468,103,100,213,5,1,7,40.0,6132.65,73591.8
469,103,100,1200,5,1,7,40.0,4816.67,57800.04
470,103,100,61,2,1,7,40.0,2583.33,30999.96
471,103,100,1092,5,1,7,40.0,5426.11,65113.32
472,103,100,40,5,0,7,40.0,3633.68,43604.16
473,103,100,374,5,1,7,40.0,11503.58,138042.96
474,103,100,742,5,1,7,40.0,3900.0,46800.0
475,103,100,1026,5,1,7,40.0,9822.05,117864.6
476,103,100,1104,5,0,8,20.0,1416.67,17000.04
477,103,100,357,3,1,7,40.0,6000.0,72000.0
479,103,100,574,3,1,7,40.0,4059.98,48719.76
480,103,100,130,5,0,7,40.0,6896.06,82752.72
481,103,100,212,5,0,7,40.0,8609.91,103318.92
482,103,100,996,5,0,7,40.0,7919.71,95036.52
483,103,100,894,5,1,7,40.0,5365.02,64380.24
484,103,100,1419,5,1,7,40.0,3966.93,47603.16
485,103,100,999,2,0,7,40.0,6383.33,76599.96
487,103,100,1408,5,1,7,40.0,4583.66,55003.92
488,103,100,1217,5,0,7,40.0,6091.8,73101.6
489,103,100,668,5,0,7,40.0,3750.0,45000.0
490,103,100,1280,5,1,7,40.0,5250.0,63000.0
491,103,100,356,5,1,7,40.0,4550.01,54600.12
493,103,100,1335,5,0,7,40.0,4561.16,54733.92
494,103,100,414,5,1,7,40.0,3657.72,43892.64
495,103,100,40,3,0,7,40.0,5383.93,64607.16
496,103,100,824,5,1,7,40.0,7275.0,87300.0
497,103,100,130,5,0,7,40.0,6355.16,76261.92
498,103,100,1024,5,1,7,40.0,7083.33,84999.96
499,103,100,1417,5,0,7,40.0,3250.0,39000.0
500,103,100,1030,5,1,7,40.0,6479.16,77749.92
501,103,100,390,5,0,7,40.0,11862.5,142350.0
502,103,100,412,2,0,8,20.0,1348.54,16182.48
